State name,Latitude,Longitude,District code,District name,Population,Households_with_Internet,sex_ratio,literacy_rate
JAMMU AND KASHMIR,33.565994894894914,76.63675315315312,4,Kargil,140802,235,810.14,61.25
JAMMU AND KASHMIR,33.791241290322574,74.29593161290322,5,Punch,476835,346,892.96,54.89
JAMMU AND KASHMIR,32.51781678321678,75.58901398601404,7,Kathua,616435,1443,890.27,63.14
JAMMU AND KASHMIR,34.27312898550724,75.11021159420288,10,Srinagar,1236829,16413,899.53,60.52
JAMMU AND KASHMIR,33.88414418604652,75.00921860465118,12,Pulwama,560440,1537,912.35,52.45
JAMMU AND KASHMIR,33.359614675767915,76.07163720136518,16,Doda,409936,596,918.81,53.44
JAMMU AND KASHMIR,33.04770670731707,75.15286951219511,19,Udhampur,554985,1214,870.0,58.08
JAMMU AND KASHMIR,32.713199095022645,74.8477520361991,21,Jammu,1529958,19905,879.97,74.32
HIMACHAL PRADESH,32.66741814595661,76.39354063116366,23,Chamba,519080,1615,986.38,62.39
HIMACHAL PRADESH,32.14093603238864,76.41205910931173,24,Kangra,1510075,8053,1011.85,76.33
HIMACHAL PRADESH,31.90911922077925,77.40922649350647,26,Kullu,437903,2623,942.33,70.26
HIMACHAL PRADESH,31.635805940594054,76.96556930693067,27,Mandi,999777,5333,1007.32,72.39
HIMACHAL PRADESH,31.67668481012659,76.49767088607594,28,Hamirpur,454768,2521,1095.03,78.74
HIMACHAL PRADESH,25.738158381502892,79.82619479768789,28,Hamirpur,454768,2521,1095.03,78.74
UTTAR PRADESH,31.67668481012659,76.49767088607594,168,Hamirpur,1104285,1196,860.52,59.16
UTTAR PRADESH,25.738158381502892,79.82619479768789,168,Hamirpur,1104285,1196,860.52,59.16
HIMACHAL PRADESH,31.58330388349513,76.18353932038836,29,Una,521173,2412,976.45,76.7
HIMACHAL PRADESH,22.356942982456143,81.99770350877188,30,Bilaspur,381956,1574,981.47,75.3
HIMACHAL PRADESH,31.3780422907489,76.65316079295157,30,Bilaspur,381956,1574,981.47,75.3
CHHATTISGARH,22.356942982456143,81.99770350877188,406,Bilaspur,2663629,8566,970.76,59.94
CHHATTISGARH,31.3780422907489,76.65316079295157,406,Bilaspur,2663629,8566,970.76,59.94
HIMACHAL PRADESH,31.03864311926604,76.94442140672783,31,Solan,580320,5250,879.55,73.85
HIMACHAL PRADESH,30.682764453961443,77.43184689507493,32,Sirmaur,529855,2220,917.76,68.44
HIMACHAL PRADESH,31.155725451807253,77.62573042168668,33,Shimla,814010,9177,915.14,75.26
HIMACHAL PRADESH,31.60667184065933,78.51613736263741,34,Kinnaur,84121,354,818.87,72.16
PUNJAB,32.04283371212125,75.3204064393939,35,Gurdaspur,2298323,14428,895.34,71.13
PUNJAB,31.336592638036837,75.47641165644177,36,Kapurthala,815168,9732,912.14,70.73
PUNJAB,31.250336907216507,75.54400350515463,37,Jalandhar,2193590,39082,915.45,73.97
PUNJAB,31.55157169811319,75.8469857442349,38,Hoshiarpur,1586625,13747,961.08,75.61
PUNJAB,30.64290947368421,76.36208394736842,40,Fatehgarh Sahib,600163,5138,870.86,70.99
PUNJAB,30.76596397379912,75.83110851528383,41,Ludhiana,3498739,58589,873.17,73.18
PUNJAB,30.756540067340065,75.1600845117845,42,Moga,995746,7897,893.34,63.06
PUNJAB,30.63407535211269,74.40245732394365,43,Firozpur,2029074,10042,893.43,60.5
PUNJAB,30.31243303303303,74.5518747747748,44,Muktsar,901896,4571,896.25,58.19
PUNJAB,30.591187250996025,74.79751553784862,45,Faridkot,617508,4348,890.31,61.75
PUNJAB,30.190524611973352,75.05685898004438,46,Bathinda,1388525,11284,868.31,60.85
PUNJAB,29.919547714285724,75.4304922857143,47,Mansa,769751,2673,883.27,55.03
PUNJAB,30.214540380693364,76.27505893949697,48,Patiala,1895686,24274,890.92,66.82
PUNJAB,31.548679820627772,74.79883856502238,49,Amritsar,2490656,29961,889.14,67.64
PUNJAB,30.910937330754347,76.53743500967126,51,Rupnagar,684627,6600,915.12,73.43
PUNJAB,30.185045204336895,75.89437014178496,53,Sangrur,1655169,10736,885.1,60.54
CHANDIGARH,30.7426,76.75872465753424,55,Chandigarh,1055450,44283,817.66,76.31
UTTARAKHAND,30.968958552036234,78.56880615384617,56,Uttarkashi,330086,602,957.84,65.17
UTTARAKHAND,30.58338611464965,79.56281095541402,57,Chamoli,391605,899,1018.68,71.64
UTTARAKHAND,30.463700918635173,78.48783792650917,59,Tehri Garhwal,618931,1366,1077.05,65.92
UTTARAKHAND,30.14720631868129,80.34229230769236,62,Pithoragarh,483439,1344,1020.17,71.48
UTTARAKHAND,29.98703393393397,79.83954354354357,63,Bageshwar,259898,435,1090.46,69.06
UTTARAKHAND,29.683532133676103,79.50165064267351,64,Almora,622506,1830,1138.6,70.12
UTTARAKHAND,29.29142393939393,80.07720212121217,65,Champawat,259648,548,980.16,68.45
UTTARAKHAND,29.02779577677222,79.45629004524895,67,Udham Singh Nagar,1648902,7883,920.04,62.94
HARYANA,30.700897142857134,76.97173238095236,69,Panchkula,561293,18615,872.98,72.21
HARYANA,30.3503672316384,76.94970310734456,70,Ambala,1128350,12899,884.66,72.5
HARYANA,30.05652659846548,76.78774680306903,72,Kurukshetra,964655,7356,887.87,67.06
HARYANA,29.96068539094649,76.37698930041155,73,Kaithal,1074304,3724,881.43,60.18
HARYANA,29.703200647249204,76.87488025889972,74,Karnal,1505324,11163,887.05,64.97
HARYANA,29.34352134146342,76.92895914634147,75,Panipat,1205437,10024,863.53,65.25
HARYANA,29.45149821958457,76.29598575667653,77,Jind,1334152,5263,871.17,62.42
HARYANA,29.57298318584072,75.54608716814157,78,Fatehabad,942011,3210,901.67,59.19
HARYANA,29.63583446327684,74.90970480225988,79,Sirsa,1295189,6287,897.48,60.45
HARYANA,29.23628731117825,75.84324682779452,80,Hisar,1743931,10132,872.05,63.9
HARYANA,28.728868064516128,76.02110225806452,81,Bhiwani,1634445,5292,885.89,65.46
